GSM3902399	NSCLC3
GSM3902400	NSCLC20
GSM3902401	NSCLC258
GSM3902402	NSCLC325
GSM3902403	NSCLC378
GSM3902404	NSCLC488
GSM3902405	NSCLC541
GSM3902406	NSCLC573
GSM3902407	NSCLC618
GSM3902408	NSCLC658
GSM3902409	NSCLC678
GSM3902410	NSCLC700
GSM3902411	NSCLC720
GSM3902412	NSCLC756
GSM3902413	NSCLC825
GSM3902414	NSCLC830
GSM3902415	NSCLC947
GSM3902416	NSCLC990
GSM3902417	NSCLC1017
GSM3902418	NSCLC1066
GSM3902419	NSCLC1079
GSM3902420	NSCLC1104
GSM3902421	NSCLC1145
GSM3902422	NSCLC1155
GSM3902423	NSCLC1164
GSM3902424	NSCLC1203
GSM3902425	NSCLC1208
GSM3902426	NSCLC1250
GSM3902427	NSCLC1297
GSM3902428	NSCLC1322
GSM3902429	NSCLC1327
GSM3902430	NSCLC1337
GSM3902431	NSCLC1352
GSM3902432	NSCLC1358
GSM3902433	NSCLC1401
GSM3902434	NSCLC1412
GSM3902435	NSCLC1425
GSM3902436	NSCLC1443
GSM3902437	NSCLC1456
GSM3902438	NSCLC1490
GSM3902439	NSCLC1508
GSM3902440	NSCLC1510
GSM3902441	NSCLC1528
GSM3902442	NSCLC1554
GSM3902443	NSCLC1589
GSM3902444	NSCLC1619
GSM3902445	NSCLC1637
GSM3902446	NSCLC1708
GSM3902447	NSCLC1711
GSM3902448	NSCLC1751
GSM3902449	NSCLC1778
GSM3902450	NSCLC1809
GSM3902451	NSCLC1873
GSM3902452	NSCLC1883
GSM3902453	NSCLC1960
GSM3902454	NSCLC2107
GSM3902455	NSCLC2126
GSM3902456	NSCLC2132
GSM3902457	NSCLC2133
GSM3902458	NSCLC2317
