probe	gene_id	gene_name	class
1	cg00007076	ENSG00000179041	RRS1	Constitutive
3	cg00168191	ENSG00000088256	GNA11	Constitutive
15	cg00766964	ENSG00000182957	SPATA13	Constitutive
16	cg00766964	ENSG00000228741	SPATA13	Constitutive
17	cg00869668	ENSG00000074660	SCARF1	Constitutive
21	cg01056615	ENSG00000113504	SLC12A7	Constitutive
28	cg01280080	ENSG00000138363	ATIC	Constitutive
41	cg01826354	ENSG00000175711	B3GNTL1	Constitutive
43	cg02050917	ENSG00000157933	SKI	Constitutive
46	cg02215357	ENSG00000139675	HNRNPA1L2	Constitutive
58	cg02578944	ENSG00000189134	NKAPL	Constitutive
59	cg02650767	ENSG00000177535	OR2B11	Constitutive
69	cg03635766	ENSG00000141753	IGFBP4	Constitutive
72	cg03799713	ENSG00000132432	SEC61G	Constitutive
76	cg03971454	ENSG00000066056	TIE1	Constitutive
95	cg04907244	ENSG00000221740	SNORD93	Constitutive
108	cg05798501	ENSG00000106100	NOD1	Constitutive
119	cg06092869	ENSG00000143815	LBR	Constitutive
122	cg06365535	ENSG00000121075	TBX4	Constitutive
127	cg06525280	ENSG00000138363	ATIC	Constitutive
132	cg07052041	ENSG00000151651	ADAM8	Constitutive
141	cg07533239	ENSG00000008323	PLEKHG6	Constitutive
147	cg07762181	ENSG00000271819	U6	Constitutive
152	cg08139247	ENSG00000176435	CLEC14A	Constitutive
156	cg08282819	ENSG00000103522	IL21R	Constitutive
157	cg08305799	ENSG00000104687	GSR	Constitutive
159	cg08443563	ENSG00000153107	ANAPC1	Constitutive
168	cg09117114	ENSG00000124067	SLC12A4	Constitutive
171	cg09187505	ENSG00000057657	PRDM1	Constitutive
177	cg09476997	ENSG00000065054	SLC9A3R2	Constitutive
187	cg10026317	ENSG00000162367	TAL1	Constitutive
207	cg10824354	ENSG00000159224	GIP	Constitutive
214	cg11199046	ENSG00000135111	TBX3	Constitutive
227	cg12279138	ENSG00000143753	DEGS1	Constitutive
232	cg12485428	ENSG00000074660	SCARF1	Constitutive
241	cg13412545	ENSG00000120129	DUSP1	Constitutive
244	cg13521620	ENSG00000175155	YPEL2	Constitutive
249	cg13699808	ENSG00000101040	ZMYND8	Constitutive
251	cg13823169	ENSG00000127191	TRAF2	Constitutive
253	cg13906823	ENSG00000215845	TSTD1	Constitutive
261	cg14214165	ENSG00000079308	TNS1	Constitutive
264	cg14333454	ENSG00000175793	SFN	Constitutive
269	cg14479884	ENSG00000135218	CD36	Constitutive
273	cg14571813	ENSG00000184897	H1FX	Constitutive
275	cg14823851	ENSG00000121075	TBX4	Constitutive
276	cg14988680	ENSG00000162772	ATF3	Constitutive
277	cg15007228	ENSG00000157933	SKI	Constitutive
293	cg16725974	ENSG00000054654	SYNE2	Constitutive
307	cg17533477	ENSG00000070669	ASNS	Constitutive
308	cg17555373	ENSG00000272469	Metazoa_SRP	Constitutive
309	cg17555373	ENSG00000274008	Metazoa_SRP	Constitutive
310	cg17555373	ENSG00000275014	Metazoa_SRP	Constitutive
311	cg17555373	ENSG00000281003	Metazoa_SRP	Constitutive
312	cg17555373	ENSG00000277452	Metazoa_SRP	Constitutive
313	cg17555373	ENSG00000281918	Metazoa_SRP	Constitutive
328	cg18650367	ENSG00000188385	JAKMIP3	Constitutive
331	cg18694169	ENSG00000189134	NKAPL	Constitutive
338	cg19017553	ENSG00000148498	PARD3	Constitutive
342	cg19211880	ENSG00000114019	AMOTL2	Constitutive
344	cg19426522	ENSG00000163508	EOMES	Constitutive
345	cg19466563	ENSG00000152583	SPARCL1	Constitutive
346	cg19533977	ENSG00000141367	CLTC	Constitutive
353	cg20087519	ENSG00000171772	SYCE1	Constitutive
365	cg21052656	ENSG00000110711	AIP	Constitutive
370	cg21341586	ENSG00000151247	EIF4E	Constitutive
373	cg21449597	ENSG00000109654	TRIM2	Constitutive
374	cg21487856	ENSG00000115306	SPTBN1	Constitutive
378	cg21747271	ENSG00000110711	AIP	Constitutive
379	cg21838979	ENSG00000119147	C2orf40	Constitutive
384	cg22203219	ENSG00000010295	IFFO1	Constitutive
388	cg22474754	ENSG00000101856	PGRMC1	Constitutive
389	cg22596016	ENSG00000198909	MAP3K3	Constitutive
392	cg22877504	ENSG00000118242	MREG	Constitutive
404	cg24161057	ENSG00000215845	TSTD1	Constitutive
406	cg24305156	ENSG00000121671	CRY2	Constitutive
408	cg24504361	ENSG00000170421	KRT8	Constitutive
411	cg24586978	ENSG00000088387	DOCK9	Constitutive
415	cg25063165	ENSG00000137331	IER3	Constitutive
422	cg25386676	ENSG00000120129	DUSP1	Constitutive
425	cg25507121	ENSG00000007314	SCN4A	Constitutive
428	cg25631489	ENSG00000173889	PHC3	Constitutive
432	cg25969122	ENSG00000110400	PVRL1	Constitutive
438	cg26351132	ENSG00000159224	GIP	Constitutive
447	cg26752613	ENSG00000106100	NOD1	Constitutive
450	cg26874872	ENSG00000271924	5S_rRNA	Constitutive
451	cg26874872	ENSG00000277411	5S_rRNA	Constitutive
452	cg26886462	ENSG00000170624	SGCD	Constitutive
4	cg00188627	ENSG00000151967	SCHIP1	Active
5	cg00221012	ENSG00000186765	FSCN2	Active
6	cg00253735	ENSG00000143387	CTSK	Active
7	cg00280812	ENSG00000167767	KRT80	Active
8	cg00313914	ENSG00000134369	NAV1	Active
9	cg00455327	ENSG00000134508	CABLES1	Active
13	cg00700039	ENSG00000101596	SMCHD1	Active
14	cg00751332	ENSG00000134508	CABLES1	Active
18	cg00907267	ENSG00000065361	ERBB3	Active
19	cg00937742	ENSG00000150551	LYPD1	Active
22	cg01058360	ENSG00000106617	PRKAG2	Active
30	cg01298102	ENSG00000103310	ZP2	Active
32	cg01381934	ENSG00000010327	STAB1	Active
36	cg01520454	ENSG00000116151	MORN1	Active
45	cg02085119	ENSG00000147676	MAL2	Active
49	cg02311725	ENSG00000101336	HCK	Active
54	cg02524983	ENSG00000145012	LPP	Active
61	cg02742969	ENSG00000120129	DUSP1	Active
68	cg03421300	ENSG00000175793	SFN	Active
75	cg03964696	ENSG00000115289	PCGF1	Active
78	cg04044224	ENSG00000124839	RAB17	Active
84	cg04472592	ENSG00000167767	KRT80	Active
85	cg04539111	ENSG00000124067	SLC12A4	Active
87	cg04608356	ENSG00000142765	SYTL1	Active
89	cg04706201	ENSG00000197536	C5orf56	Active
90	cg04731861	ENSG00000163466	ARPC2	Active
96	cg04912984	ENSG00000173218	VANGL1	Active
100	cg05167973	ENSG00000181649	PHLDA2	Active
102	cg05292478	ENSG00000198742	SMURF1	Active
104	cg05516390	ENSG00000140836	ZFHX3	Active
106	cg05553502	ENSG00000175745	NR2F1	Active
107	cg05653018	ENSG00000163435	ELF3	Active
110	cg05818824	ENSG00000007314	SCN4A	Active
112	cg05859264	ENSG00000156711	MAPK13	Active
113	cg05898092	ENSG00000169718	DUS1L	Active
116	cg06021088	ENSG00000136717	BIN1	Active
125	cg06436185	ENSG00000106617	PRKAG2	Active
130	cg06720467	ENSG00000175793	SFN	Active
131	cg06805925	ENSG00000166582	CENPV	Active
135	cg07267550	ENSG00000214140	PRCD	Active
137	cg07339393	ENSG00000067082	KLF6	Active
138	cg07343027	ENSG00000169718	DUS1L	Active
139	cg07368661	ENSG00000177303	CASKIN2	Active
140	cg07450633	ENSG00000120129	DUSP1	Active
146	cg07679948	ENSG00000065357	DGKA	Active
148	cg07785936	ENSG00000183840	GPR39	Active
149	cg07871456	ENSG00000108848	LUC7L3	Active
164	cg08951271	ENSG00000204580	DDR1	Active
173	cg09287629	ENSG00000182329	KIAA2012	Active
174	cg09325711	ENSG00000006451	RALA	Active
175	cg09404516	ENSG00000115306	SPTBN1	Active
176	cg09464735	ENSG00000120129	DUSP1	Active
178	cg09479241	ENSG00000160606	TLCD1	Active
182	cg09633579	ENSG00000243742	RPLP0P2	Active
183	cg09656363	ENSG00000280788	Metazoa_SRP	Active
184	cg09656363	ENSG00000274008	Metazoa_SRP	Active
188	cg10055566	ENSG00000189134	NKAPL	Active
190	cg10184289	ENSG00000179833	SERTAD2	Active
191	cg10203223	ENSG00000153531	ADPRHL1	Active
201	cg10447615	ENSG00000121940	CLCC1	Active
204	cg10633906	ENSG00000164855	TMEM184A	Active
209	cg10896774	ENSG00000165131	C7orf34	Active
215	cg11326574	ENSG00000139263	LRIG3	Active
216	cg11348165	ENSG00000175793	SFN	Active
217	cg11586448	ENSG00000139722	VPS37B	Active
220	cg11807829	ENSG00000072201	LNX1	Active
221	cg11968804	ENSG00000162772	ATF3	Active
222	cg12018140	ENSG00000061455	PRDM6	Active
223	cg12075498	ENSG00000162434	JAK1	Active
226	cg12229082	ENSG00000181652	ATG9B	Active
228	cg12413579	ENSG00000126067	PSMB2	Active
229	cg12426196	ENSG00000215845	TSTD1	Active
230	cg12432038	ENSG00000221953	C1orf229	Active
231	cg12475994	ENSG00000170074	FAM153A	Active
233	cg12503394	ENSG00000164855	TMEM184A	Active
237	cg12970171	ENSG00000112941	PAPD7	Active
239	cg13242558	ENSG00000184897	H1FX	Active
242	cg13421412	ENSG00000010327	STAB1	Active
248	cg13641591	ENSG00000198382	UVRAG	Active
252	cg13856643	ENSG00000124839	RAB17	Active
256	cg14036856	ENSG00000253313	C1orf210	Active
258	cg14091631	ENSG00000185842	DNAH14	Active
266	cg14377951	ENSG00000134201	GSTM5	Active
271	cg14496753	ENSG00000106852	LHX6	Active
278	cg15538767	ENSG00000070614	NDST1	Active
279	cg15584790	ENSG00000204642	HLA-F	Active
284	cg16260696	ENSG00000175463	TBC1D10C	Active
285	cg16330965	ENSG00000174446	SNAPC5	Active
286	cg16361253	ENSG00000164393	GPR111	Active
290	cg16537676	ENSG00000204580	DDR1	Active
292	cg16723982	ENSG00000128829	EIF2AK4	Active
295	cg16780688	ENSG00000147676	MAL2	Active
297	cg16986578	ENSG00000163435	ELF3	Active
298	cg17086141	ENSG00000141279	NPEPPS	Active
299	cg17117459	ENSG00000102699	PARP4	Active
301	cg17160439	ENSG00000168060	NAALADL1	Active
304	cg17459635	ENSG00000172183	ISG20	Active
314	cg17555806	ENSG00000156026	MCU	Active
316	cg17724627	ENSG00000161791	FMNL3	Active
317	cg17753347	ENSG00000143355	LHX9	Active
318	cg17786697	ENSG00000061455	PRDM6	Active
323	cg18183892	ENSG00000163064	EN1	Active
324	cg18184218	ENSG00000120549	KIAA1217	Active
326	cg18524114	ENSG00000151353	TMEM18	Active
329	cg18675097	ENSG00000189134	NKAPL	Active
334	cg18788940	ENSG00000109854	HTATIP2	Active
335	cg18829411	ENSG00000205581	HMGN1	Active
339	cg19092396	ENSG00000186891	TNFRSF18	Active
341	cg19202384	ENSG00000183010	PYCR1	Active
343	cg19238840	ENSG00000169347	GP2	Active
