ID	CHR	MAPINFO	u.h	delta.h	sd.h	cv.h	p.h	u.c	delta.c	sd.c	cv.c	p.c	q.h	q.c	Class	nearest.gene	dis	X1	X2	X3	X4	X5	X6
cg00037457	chr17	59531744	0.599110483810717	0.313668649040374	0.113244763355595	0.189021501735852	4.48555320865157e-19	0.69783102343439	0.412389188664046	0.113750662024839	0.163006026107887	1.18426665557335e-19	1.89347734659194e-16	4.46906785933953e-16	Constitutive	+;ENSG00000121075;TBX4;protein_coding	1979	-0.331506845018985	8.47793478241079e-14	ENSG00000121075	-1.10722304556943	6.14499295011586e-21	6.14499295011586e-21
cg00249511	chr11	627152	0.520175669579221	0.436014729312787	0.136971214094722	0.263317225516373	8.0049429464152e-20	0.643412166854233	0.559251226587799	0.156468134981521	0.24318491791432	1.79443418302384e-19	1.88035537081088e-16	4.46906785933953e-16	Cold	-;ENSG00000070031;SCT;protein_coding	843	-0.00694288035801319	0.878661412604244	ENSG00000070031	0.737802986317502	5.87373436206668e-08	5.87373436206668e-08
cg00332937	chr5	72740460	0.491845322058307	0.320710660402995	0.121734342932765	0.247505338514399	4.78957737523031e-19	0.548772094281553	0.377637432626241	0.174542407842903	0.318059918974948	1.90797956861921e-15	1.9122822208877e-16	7.71184741142125e-14	Hot	-;ENSG00000251493;FOXD1;protein_coding	194	-0.192411763400166	1.94734274321136e-05	ENSG00000251493	1.35937225601354	1.21822315110329e-13	1.21822315110329e-13
cg00396667	chr5	134364387	0.501564235073447	0.358295448851635	0.122653181772298	0.244541323314922	7.48627363543753e-20	0.603290822949856	0.460022036728044	0.144712062674883	0.239871148656459	8.16201206527624e-19	1.88035537081088e-16	5.01970078980378e-16	Constitutive	-;ENSG00000069011;PITX1;protein_coding	963	0.0742473458449664	0.102066288617721	ENSG00000069011	3.11052478583747	3.28974938010688e-13	3.28974938010688e-13
cg00682263	chr15	66188803	0.656221895662122	0.32857595245156	0.125124426717915	0.190673958831662	2.04399273271245e-18	0.64598402402319	0.318338080812627	0.161920092699709	0.250656497185906	9.71455231743254e-15	3.11606613426389e-16	2.96333499969495e-13	Hot	-;ENSG00000157890;MEGF11;protein_coding	1386	-0.190144421632796	2.44764949556026e-05	ENSG00000157890	-0.521972418857604	1.18839917334359e-17	1.18839917334359e-17
cg00683332	chr16	51188697	0.575956978806093	0.390547900559077	0.142547726071238	0.247497176554274	3.22901849060174e-19	0.662549157629909	0.477140079382893	0.159490564966982	0.240722613756716	6.39972993819227e-18	1.88035537081088e-16	1.22865198156574e-15	Constitutive	-;ENSG00000103449;SALL1;protein_coding	18811	0.0832619189257643	0.0666537152105598	ENSG00000103449	4.97689644482563	3.97933598318152e-20	3.97933598318152e-20
cg00891541	chr16	68481487	0.739433135177966	0.301732557512404	0.104013388696352	0.140666388545487	6.73813242711441e-18	0.74253828717793	0.304837709512368	0.148759310183791	0.200338908784302	3.37310794341852e-15	6.16906708216613e-16	1.2319900383715e-13	Constitutive	+;ENSG00000184939;ZFP90;protein_coding	82506	0.0203269478896256	0.654757918406239	ENSG00000184939	0.0127995456673101	2.00089181914065e-36	2.00089181914065e-36
cg00956199	chr10	8078325	0.462039258625363	0.320751001367769	0.112850340650619	0.244244051872055	1.70408390410578e-19	0.53447998465137	0.393191727393777	0.146198550561809	0.273534191663269	2.18806639561615e-18	1.88035537081088e-16	7.15030129521214e-16	Hot	+;ENSG00000107485;GATA3;protein_coding	9016	-0.401150806811384	0	ENSG00000107485	-0.440727698914211	8.78608894642367e-24	8.78608894642367e-24
cg00983904	chr12	6665288	0.492879598729845	0.315440365588626	0.109976156318877	0.223129860928077	7.90498184944833e-19	0.617674278951756	0.440235045810537	0.124926190941501	0.20225253859285	1.25638224364904e-18	2.099856898861e-16	5.73943521719558e-16	Constitutive	-;ENSG00000111641;NOP2;protein_coding	741	0.389742154356139	0	ENSG00000111641	0.483187723015573	2.00089181914065e-36	2.00089181914065e-36
cg00989365	chr14	70014548	0.583078014346553	0.309102186581646	0.108750244907466	0.186510625047903	1.74219958032941e-19	0.63100727199366	0.357031444228754	0.129777220699155	0.20566675925798	1.61750840560856e-18	1.88035537081088e-16	6.26235060280894e-16	Constitutive	-;ENSG00000267909;CCDC177;protein_coding	21968	0.0218393061466654	0.631032637518367	ENSG00000267909	2.73800823271261	1.12737457117915e-36	1.12737457117915e-36
